Ocean Colour Scene - You've Got It Bad.webm,640,480,vp9,19.53
Lacuna Coil - Heaven's A Lie.webm,640,480,vp9,17.19
Nickelback - Burn It to the Ground.webm,720,480,vp9,18.31
Alestorm - Fannybaws.webm,1920,904,vp9,70.36
The Iron Cross - Radar Love.webm,3840,2160,vp9,657.31
Nirvana - Smells Like Teen Spirit.webm,1920,1080,vp9,40.62
Butcher Babies - Monsters Ball.webm,1920,1080,vp9,65.77
Epica - Never Enough.mp4,384,288,h264,10.02
Within Temptation - Frozen.webm,3840,2160,vp9,492.79
Metallica - Turn the Page.webm,632,480,vp9,24.78
The Wannadies - Might Be Stars.webm,854,480,vp9,16.94
Stone Sour - Bother.mkv,640,480,h264,11.6
Metallica - I Disappear.webm,640,480,vp9,20.15
Skid Row - Youth Gone Wild.webm,696,480,vp9,17.55
Van Halen - Jump.webm,654,480,vp9,19.24
WWE - Jeff Hardy Entrance.webm,1920,1080,vp9,82.52
Audioslave - Cochise.webm,640,480,vp9,18.54
Megadeth - Breadline.webm,1920,1080,vp9,56.77
Bon Jovi - Always.webm,1920,1080,vp9,53.35
Arch Enemy - War Eternal.webm,1920,1080,vp9,79.88
Devildriver - Pray For Villains.webm,640,352,vp9,11.84
INXS - Suicide Blonde.webm,1444,1080,vp9,64.33
Kula Shaker - Tattva v2.webm,648,480,vp9,16.76
Halestorm - Love⧸Hate Heartbreak.webm,640,480,vp9,12.13
Marilyn Manson - Sweet Dreams (Are Made Of This) (Alt. Version).webm,640,480,vp9,25.05
Leaves' Eyes - Riders On The Wind.webm,1920,1080,vp9,68.8
Blink-182 - All The Small Things.webm,1920,1080,vp9,46.93
Bullet For My Valentine - All These Things I Hate (Revolve Around Me).webm,1920,1080,vp9,36.37
Children Of Bodom - Are You Dead Yet.mp4,384,288,h264,10.53
Iron Maiden - The Clairvoyant (Donington '88).webm,640,480,vp9,18.78
R.E.M. - Man On The Moon.webm,1920,1080,vp9,82.85
Type O Negative - My Girlfriend's Girlfriend.webm,640,480,vp9,17.93
System Of A Down - Chop Suey!.webm,1436,1080,vp9,63.8
Razorlight - In The Morning.webm,854,480,vp9,17.63
DevilDriver - Trust No One.webm,1920,1080,vp9,97.78
Slipknot - Before I Forget.mp4,1920,864,h264,71.9
Butcher Babies - Dead Man Walking.webm,1920,1080,vp9,86.4
Cradle Of Filth - Nymphetamine Fix.webm,640,336,vp9,15.2
Adam & The Ants - Stand And Deliver.webm,640,480,vp9,13.21
Pearl Jam - Black (Live) - MTV Unplugged.webm,640,360,vp9,18.33
Arch Enemy - My Apocalypse.webm,1280,720,vp9,35.38
Gary Jules - Mad World.webm,320,240,vp9,4.2
The Killers - Mr. Brightside (Alternate Version).webm,640,480,vp9,12.22
The Sisters of Mercy - Lucretia My Reflection.webm,640,360,vp9,30.5
Motörhead – Killed By Death.webm,656,480,vp9,13.67
Beastie Boys - Intergalactic.webm,1920,1080,vp9,85.67
Jon Bon Jovi - Blaze of Glory.webm,1920,1080,vp9,62.92
Aqua - Barbie Girl.webm,1920,1080,vp9,53.92
Ash - Clones.webm,1920,1080,vp9,54.89
Iron Maiden - Fear Of The Dark (Live At Donington Park).webm,640,480,vp9,29.14
Halestorm - Freak Like Me.webm,1920,1080,vp9,66.4
The View - Same Jeans.webm,854,480,vp9,17.16
The White Stripes - Fell In Love With A Girl.webm,1920,1080,vp9,21.91
Poison - Nothing But A Good Time.webm,640,480,vp9,19.39
Grand Theft Audio - Stoopid Ass.mp4,352,262,h264,11.27
Scorpions - Rock You Like A Hurricane.webm,648,480,vp9,18.08
Burning Witches - We Stand As One.webm,1920,1080,vp9,106.72
Noah And The Whale - L.I.F.E.G.O.E.S.O.N..webm,640,360,vp9,8.75
The Distillers - Drain the Blood.webm,1280,720,vp9,35.54
Soundgarden - Outshined.webm,1920,1080,vp9,65.88
Ozzy Osbourne - Let Me Hear You Scream.webm,1920,1080,vp9,65.62
Leaves' Eyes - Chain Of The Golden Horn.webm,3840,2160,vp9,313.43
Bullet For My Valentine - Hearts Burst Into Fire.webm,1920,1080,vp9,71.28
Pearl Jam - Do the Evolution.webm,854,480,vp9,20.22
Halestorm - Mz. Hyde.webm,1280,720,vp9,33.13
Rammstein - Feuer Frei.webm,640,480,vp9,10.04
Sleeper - Sale Of The Century.webm,852,480,vp9,26.14
Airbourne - Blonde Bad And Beautiful.webm,1920,1080,vp9,71.79
Epica - The Phantom Agony.webm,3840,2160,vp9,732.96
Weezer - Beginning Of The End (Wyld Stallyns Edit).webm,1920,1080,vp9,54.03
DevilDriver - I Could Care Less.mp4,480,260,h264,10.2
Ozzy Osbourne - Crazy Train.webm,1920,1080,vp9,67.66
The Cooper Temple Clause - Who Needs Enemies.webm,854,480,vp9,21.75
Sumo Cyco - Bystander.webm,1920,1080,vp9,79.29
Limp Bizkit - Break Stuff.webm,1920,1080,vp9,51.16
Iron Maiden - Man On The Edge.webm,640,480,vp9,17.79
New Order - Blue Monday 88.webm,1280,720,vp9,15.71
Blur - Charmless Man.webm,640,360,vp9,11.7
Garbage - Only Happy When It Rains.webm,640,480,vp9,17.57
Satyricon - The Pentagram Burns.webm,1280,720,vp9,33.71
New Model Army - Wonderful Way To Go.webm,320,240,vp9,10.04
Iron Maiden - Can I Play With Madness.webm,1280,720,vp9,20.99
Madonna - Vogue.webm,640,480,vp9,18.44
Burning Witches - The Witch Of The North.webm,3840,2160,vp9,436.28
RATT - Round and Round.webm,640,480,vp9,16.61
The Cooper Temple Clause - Film Maker.webm,854,480,vp9,12.38
Bonnie Tyler - Total Eclipse of the Heart.webm,2880,2160,vp9,442.51
Slipknot - Duality.mp4,1920,1080,h264,112.71
Garbage - When I Grow Up.webm,480,360,vp9,11.21
Janet Jackson - Rhythm Nation.webm,1920,1080,vp9,71.6
Adam & The Ants - Prince Charming.webm,640,480,vp9,13.35
The Subways - Rock & Roll Queen.webm,1920,1080,vp9,44.38
The Christmas Chronicles - Santa Claus is Back In Town.webm,1920,1080,vp9,40.89
Nena - 99 Red Balloons.webm,1396,1080,vp9,55.64
Meat Loaf - Dead Ringer for Love.webm,640,480,vp9,20.16
Stone Sour - Hesitate.webm,1920,1080,vp9,61.55
Gary Numan - Cars.webm,640,480,vp9,13.76
Megadeth - Reckoning Day.webm,640,480,vp9,20.8
Megadeth - Peace Sells...webm,640,480,vp9,17.62
Steel Panther - Death To All But Metal (Clean).webm,854,480,vp9,20.77
Probot - Shake Your Blood.webm,1280,720,vp9,32.68
Oasis - The Importance Of Being Idle.webm,320,240,vp9,5.93
East 17 - Stay Another Day.webm,1280,720,vp9,30.67
Rancid - Ruby Soho.webm,628,480,vp9,12.1
Ozzy Osbourne - Hellraiser.webm,1920,1080,vp9,84.33
David Bowie – Space Oddity.webm,656,480,vp9,21.33
Bruce Springsteen - Born to Run.webm,640,480,vp9,24.32
Jane's Addiction - Been Caught Stealing.webm,640,480,vp9,16.46
RUN DMC - Walk This Way ft. Aerosmith.webm,1440,1080,vp9,50.18
Guns N' Roses - Paradise City.webm,1920,1080,vp9,126.59
